"BehaviorSpace results (NetLogo 6.2.0)"
"ABM hospital v3 scenario.nlogo"
"Driftsutvalget"
"05/13/2021 15:37:04:677 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","Antall_ledelsesorganer_PPE","antall_i_ren_intensiv_sone","Antall_omdisponerte_ved_pandemi_start","Trigger_omdisponering_sykepleiere_per_pasient","Antall_motstridende_beskjeder_PPE","Trigger_normalisering_sykepleiere_per_pasient","antall_motstridende_beskjeder","fast_ansatt_intensiv","antall_ledelsesorganer","dager_før_start","dager_opplæring_omdisponerte_etter_start","[step]","beredskaps_vellykkethet","beredskapshåndtering","beredskapshåndtering_døds_relatert","beredskapshåndtering_kompetanse_relatert","beredskapshåndtering_stress_relatert","beredskapshåndtering_kommunikasjon","døde","gjennomsnitt_stress","kummulativt_antall_intensiv","friskmeldte_pasienter","antall_kompetanse_over_3","antall_kompetanse_under_3_til_2","antall_kompetanse_under_2_til_1"
"45","4","7","0","3","2","3.5","1","22","3","0","2","60","5","476","250","70","16","140","9","50.127272727272725","568","2786","0","10","10"
"46","4","7","0","3","2","3.5","1","22","3","0","2","60","5","447","250","54","3","140","17","49.98","571","2778","0","8","7"
"48","4","7","0","3","2","3.5","1","22","3","0","2","60","5","456","250","58","8","140","20","50.22","551","2788","0","6","14"
"44","4","7","0","3","2","3.5","1","22","3","0","2","60","5","446","250","55","1","140","18","49.6","584","2756","0","5","15"
"47","4","7","0","3","2","3.5","1","22","3","0","2","60","5","464","250","73","1","140","17","50.44","573","2767","0","11","9"
"52","4","7","0","3","2","3.5","1","22","3","0","2","60","5","454","250","58","6","140","14","49.763636363636365","590","2788","0","6","14"
"50","4","7","0","3","2","3.5","1","22","3","0","2","60","5","445","250","55","0","140","18","49.4","581","2769","0","5","15"
"49","4","7","0","3","2","3.5","1","22","3","0","2","60","5","487","250","79","18","140","20","49.70909090909091","605","2748","0","13","7"
"51","4","7","0","3","2","3.5","1","22","3","0","2","60","5","456","250","62","4","140","14","50.42","546","2791","0","8","11"
"56","4","7","0","3","2","3.5","1","22","3","0","2","60","5","463","250","52","21","140","18","50.28","539","2798","0","4","16"
"53","4","7","0","3","2","3.5","1","22","3","0","2","60","5","451","250","49","12","140","7","48.78181818181818","532","2783","0","3","17"
"54","4","7","0","3","2","3.5","1","22","3","0","2","60","5","469","250","70","9","140","19","49.74545454545454","583","2779","0","10","10"
"57","4","7","0","3","2","3.5","1","22","3","0","2","60","5","469","250","64","15","140","21","49.836363636363636","575","2772","0","8","12"
"55","4","7","0","3","2","3.5","1","22","3","0","2","60","5","480","250","70","20","140","17","49.78181818181818","553","2783","0","10","10"
"58","4","7","0","3","2","3.5","1","22","3","0","2","60","5","475","250","67","18","140","16","50.236363636363635","578","2777","0","9","11"
"59","4","7","0","3","2","3.5","1","22","3","0","2","60","5","448","250","55","3","140","20","50","558","2783","0","5","15"
"60","4","7","0","3","2","3.5","1","22","3","0","2","60","5","462","250","64","8","140","22","50.62","548","2767","0","8","12"
"62","4","7","0","3","2","3.5","1","22","3","0","2","60","5","471","250","73","8","140","15","50.21818181818182","558","2802","0","11","9"
"65","4","7","0","3","2","3.5","1","22","3","0","2","60","5","476","250","68","18","140","15","50.4","572","2760","0","10","9"
"61","4","7","0","3","2","3.5","1","22","3","0","2","60","5","476","250","73","13","140","13","50.44","547","2784","0","11","9"
"64","4","7","0","3","2","3.5","1","22","3","0","2","60","5","488","250","73","25","140","16","49.629629629629626","565","2792","0","11","9"
"66","4","7","0","3","2","3.5","1","22","3","0","2","60","5","455","248","58","9","140","25","50.46","587","2752","0","6","14"
"63","4","7","0","3","2","3.5","1","22","3","0","2","60","5","461","250","58","13","140","15","49.4","602","2764","0","6","14"
"67","4","7","0","3","2","3.5","1","22","3","0","2","60","5","451","250","61","0","140","22","49.49090909090909","552","2776","0","7","13"
"70","4","7","0","3","2","3.5","1","22","3","0","2","60","5","463","250","67","6","140","14","48.92727272727273","565","2799","0","9","11"
"69","4","7","0","3","2","3.5","1","22","3","0","2","60","5","481","250","73","18","140","21","49.14545454545455","575","2767","0","11","9"
"68","4","7","0","3","2","3.5","1","22","3","0","2","60","5","467","250","76","1","140","16","48.981818181818184","535","2779","0","12","8"
"73","4","7","0","3","2","3.5","1","22","3","0","2","60","5","454","250","58","6","140","17","49.763636363636365","541","2786","0","6","14"
"71","4","7","0","3","2","3.5","1","22","3","0","2","60","5","457","250","61","6","140","16","50.46","555","2782","0","7","13"
"72","4","7","0","3","2","3.5","1","22","3","0","2","60","5","457","250","61","6","140","16","49.41818181818182","570","2754","0","7","13"
"74","4","7","0","3","2","3.5","1","22","3","0","2","60","5","468","250","70","8","140","14","49.92727272727273","536","2795","0","10","10"
"76","4","7","0","3","2","3.5","1","22","3","0","2","60","5","458","250","64","4","140","12","48.43636363636364","529","2809","0","8","12"
"75","4","7","0","3","2","3.5","1","22","3","0","2","60","5","469","250","67","12","140","19","48.67272727272727","523","2779","0","9","11"
"77","4","7","0","3","2","3.5","1","22","3","0","2","60","5","462","250","64","8","140","18","50.21818181818182","580","2769","0","8","12"
"79","4","7","0","3","2","3.5","1","22","3","0","2","60","5","453","246","58","9","140","26","49.96363636363636","604","2757","0","6","14"
"78","4","7","0","3","2","3.5","1","22","3","0","2","60","5","483","250","79","14","140","15","49.981818181818184","567","2793","0","13","7"
"80","4","7","0","3","2","3.5","1","22","3","0","2","60","5","485","250","75","20","140","17","50.527272727272724","607","2767","0","9","15"
"81","4","7","0","3","2","3.5","1","22","3","0","2","60","5","469","250","70","9","140","24","49.39622641509434","569","2763","0","10","10"
"83","4","7","0","3","2","3.5","1","22","3","0","2","60","5","465","250","70","5","140","13","49.127272727272725","582","2777","0","10","10"
"85","4","7","0","3","2","3.5","1","22","3","0","2","60","5","473","250","70","13","140","14","50.018181818181816","571","2769","0","10","10"
"82","4","7","0","3","2","3.5","1","22","3","0","2","60","5","471","250","80","1","140","22","49.016666666666666","573","2784","0","10","15"
"84","4","7","0","3","2","3.5","1","22","3","0","2","60","5","461","250","62","9","140","14","50.44","552","2774","0","8","11"
"86","4","7","0","3","2","3.5","1","22","3","0","2","60","5","473","250","83","0","140","16","48.93333333333333","608","2783","0","11","14"
"87","4","7","0","3","2","3.5","1","22","3","0","2","60","5","465","246","76","3","140","26","49.472727272727276","564","2769","0","12","8"
"88","4","7","0","3","2","3.5","1","22","3","0","2","60","5","456","250","61","5","140","13","49.58181818181818","616","2764","0","7","13"
"89","4","7","0","3","2","3.5","1","22","3","0","2","60","5","449","250","52","7","140","11","48.90909090909091","563","2795","0","4","16"
"90","4","7","0","3","2","3.5","1","22","3","0","2","60","5","461","250","67","4","140","17","49.8","589","2775","0","9","11"
"91","4","7","0","3","2","3.5","1","22","3","0","2","60","5","467","250","73","4","140","17","49.81818181818182","562","2768","0","11","9"
"92","4","7","0","3","2","3.5","1","22","3","0","2","60","5","451","250","61","0","140","21","49.18181818181818","541","2782","0","7","13"
"94","4","7","0","3","2","3.5","1","22","3","0","2","60","5","462","250","58","14","140","17","50.163636363636364","593","2778","0","6","14"
"93","4","7","0","3","2","3.5","1","22","3","0","2","60","5","461","250","70","1","140","18","50.10909090909091","578","2780","0","10","10"
"96","4","7","0","3","2","3.5","1","22","3","0","2","60","5","451","250","61","0","140","16","50.10909090909091","562","2779","0","7","13"
"95","4","7","0","3","2","3.5","1","22","3","0","2","60","5","469","250","61","18","140","24","49.89090909090909","563","2780","0","7","13"
"97","4","7","0","3","2","3.5","1","22","3","0","2","60","5","445","250","55","0","140","14","50.24","597","2768","0","5","15"
"98","4","7","0","3","2","3.5","1","22","3","0","2","60","5","460","250","58","12","140","20","49.07272727272727","550","2787","0","6","14"
"99","4","7","0","3","2","3.5","1","22","3","0","2","60","5","475","250","70","15","140","16","49.72727272727273","567","2783","0","10","10"
"100","4","7","0","3","2","3.5","1","22","3","0","2","60","5","473","250","67","16","140","18","49.78181818181818","603","2752","0","9","11"
