"BehaviorSpace results (NetLogo 6.2.0)"
"ABM hospital v2.nlogo"
"Driftsutvalget"
"05/09/2021 19:12:41:283 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","Antall_ledelsesorganer_PPE","antall_i_ren_intensiv_sone","Antall_omdisponerte_ved_pandemi_start","Trigger_omdisponering_sykepleiere_per_pasient","Antall_motstridende_beskjeder_PPE","Trigger_normalisering_sykepleiere_per_pasient","antall_motstridende_beskjeder","fast_ansatt_intensiv","antall_ledelsesorganer","dager_før_start","dager_opplæring_omdisponerte_etter_start","[step]","beredskaps_vellykkethet","beredskapshåndtering","beredskapshåndtering_døds_relatert","beredskapshåndtering_kompetanse_relatert","beredskapshåndtering_stress_relatert","beredskapshåndtering_kommunikasjon","døde","gjennomsnitt_stress","kummulativt_antall_intensiv","friskmeldte_pasienter","antall_kompetanse_over_3","antall_kompetanse_under_3_til_2","antall_kompetanse_under_2_til_1"
"36","4","7","0","3","2","3.5","1","22","3","0","2","60","5","488","244","90","14","140","9","51.13636363636363","76","205","3","0","30"
"47","4","7","0","3","2","3.5","1","22","3","0","2","60","5","487","236","93","18","140","13","51.06818181818182","75","206","3","1","29"
"49","4","7","0","3","2","3.5","1","22","3","0","2","60","5","479","246","93","0","140","8","51.34090909090909","62","203","3","1","29"
"46","4","7","0","3","2","3.5","1","22","3","0","2","60","5","480","250","90","0","140","0","50.61363636363637","51","227","3","0","30"
"48","4","7","0","3","2","3.5","1","22","3","0","2","60","5","489","250","99","0","140","0","47.22727272727273","64","232","3","3","27"
"50","4","7","0","3","2","3.5","1","22","3","0","2","60","5","484","244","93","7","140","9","50.52272727272727","77","195","3","1","29"
"52","4","7","0","3","2","3.5","1","22","3","0","2","60","5","490","250","96","4","140","6","49.79545454545455","67","221","3","2","28"
"51","4","7","0","3","2","3.5","1","22","3","0","2","60","5","486","250","96","0","140","3","50.04545454545455","58","224","3","2","28"
"55","4","7","0","3","2","3.5","1","22","3","0","2","60","5","500","250","105","5","140","3","50.68181818181818","72","221","3","5","25"
"54","4","7","0","3","2","3.5","1","22","3","0","2","60","5","492","250","99","3","140","3","50.84090909090909","62","221","3","3","27"
"53","4","7","0","3","2","3.5","1","22","3","0","2","60","5","486","250","93","3","140","2","40.13636363636363","66","232","3","1","29"
"57","4","7","0","3","2","3.5","1","22","3","0","2","60","5","484","250","93","1","140","0","50.52272727272727","83","231","3","1","29"
"58","4","7","0","3","2","3.5","1","22","3","0","2","60","5","490","250","96","4","140","1","34.07692307692308","56","232","3","2","28"
"61","4","7","0","3","2","3.5","1","22","3","0","2","60","5","494","250","90","14","140","3","50.61363636363637","62","226","3","0","30"
"59","4","7","0","3","2","3.5","1","22","3","0","2","60","5","499","250","105","4","140","0","48.5","69","230","3","5","25"
"64","4","7","0","3","2","3.5","1","22","3","0","2","60","5","492","250","96","6","140","6","49.27272727272727","79","220","3","2","28"
"62","4","7","0","3","2","3.5","1","22","3","0","2","60","5","495","248","105","2","140","7","50.93181818181818","69","199","3","5","25"
"56","4","7","0","3","2","3.5","1","22","3","0","2","60","5","500","248","99","13","140","7","51.25","73","209","3","3","27"
"65","4","7","0","3","2","3.5","1","22","3","0","2","60","5","491","250","99","2","140","6","50.90909090909091","78","204","3","3","27"
"66","4","7","0","3","2","3.5","1","22","3","0","2","60","5","490","250","96","4","140","1","50.27272727272727","61","228","3","2","28"
"63","4","7","0","3","2","3.5","1","22","3","0","2","60","5","480","250","90","0","140","0","50.12820512820513","60","230","3","0","30"
"60","4","7","0","3","2","3.5","1","22","3","0","2","60","5","467","220","96","11","140","21","50.97727272727273","92","187","3","2","28"
"68","4","7","0","3","2","3.5","1","22","3","0","2","60","5","493","242","96","15","140","10","50.93181818181818","87","206","3","2","28"
"71","4","7","0","3","2","3.5","1","22","3","0","2","60","5","496","240","102","14","140","11","50.86363636363637","66","206","3","4","26"
"69","4","7","0","3","2","3.5","1","22","3","0","2","60","5","480","244","96","0","140","9","51.02272727272727","76","200","3","2","28"
"72","4","7","0","3","2","3.5","1","22","3","0","2","60","5","498","250","96","12","140","2","50.70454545454545","69","224","3","2","28"
"70","4","7","0","3","2","3.5","1","22","3","0","2","60","5","490","250","96","4","140","2","50.47727272727273","67","226","3","2","28"
"75","4","7","0","3","2","3.5","1","22","3","0","2","60","5","479","242","96","1","140","10","50.97727272727273","67","208","3","2","28"
"67","4","7","0","3","2","3.5","1","22","3","0","2","60","5","475","244","90","1","140","9","51.22727272727273","72","205","3","0","30"
"77","4","7","0","3","2","3.5","1","22","3","0","2","60","5","492","250","102","0","140","1","50.52272727272727","67","226","3","4","26"
"76","4","7","0","3","2","3.5","1","22","3","0","2","60","5","485","250","93","2","140","1","49.93181818181818","69","225","3","1","29"
"73","4","7","0","3","2","3.5","1","22","3","0","2","60","5","492","250","93","9","140","6","51.27272727272727","73","201","3","1","29"
"78","4","7","0","3","2","3.5","1","22","3","0","2","60","5","490","248","96","6","140","7","50.61363636363637","66","207","3","2","28"
"81","4","7","0","3","2","3.5","1","22","3","0","2","60","5","484","250","93","1","140","2","50.25","73","227","3","1","29"
"74","4","7","0","3","2","3.5","1","22","3","0","2","60","5","483","250","93","0","140","6","50.84090909090909","70","209","3","1","29"
"80","4","7","0","3","2","3.5","1","22","3","0","2","60","5","483","248","93","2","140","7","51.06818181818182","71","212","3","1","29"
"82","4","7","0","3","2","3.5","1","22","3","0","2","60","5","497","250","99","8","140","6","50.84090909090909","79","212","3","3","27"
"79","4","7","0","3","2","3.5","1","22","3","0","2","60","5","491","250","96","5","140","4","50.65909090909091","56","215","3","2","28"
"83","4","7","0","3","2","3.5","1","22","3","0","2","60","5","488","250","96","2","140","5","51.45454545454545","64","205","3","2","28"
"85","4","7","0","3","2","3.5","1","22","3","0","2","60","5","487","250","96","1","140","5","50.70454545454545","67","221","3","2","28"
"84","4","7","0","3","2","3.5","1","22","3","0","2","60","6","501","246","96","19","140","8","51.20454545454545","78","204","3","2","28"
"89","4","7","0","3","2","3.5","1","22","3","0","2","60","5","471","238","93","0","140","12","51.04545454545455","71","205","3","1","29"
"86","4","7","0","3","2","3.5","1","22","3","0","2","60","6","507","250","99","18","140","5","51.11363636363637","77","208","3","3","27"
"92","4","7","0","3","2","3.5","1","22","3","0","2","60","5","490","250","99","1","140","2","50.34090909090909","56","228","3","3","27"
"88","4","7","0","3","2","3.5","1","22","3","0","2","60","5","500","244","96","20","140","9","51.13636363636363","56","214","3","2","28"
"87","4","7","0","3","2","3.5","1","22","3","0","2","60","5","495","248","99","8","140","7","50.70454545454545","86","202","3","3","27"
"90","4","7","0","3","2","3.5","1","22","3","0","2","60","5","496","250","96","10","140","2","50.5","80","225","3","2","28"
"94","4","7","0","3","2","3.5","1","22","3","0","2","60","5","483","248","93","2","140","7","51.15909090909091","68","200","3","1","29"
"96","4","7","0","3","2","3.5","1","22","3","0","2","60","6","501","250","99","12","140","2","50.54545454545455","76","228","3","3","27"
"91","4","7","0","3","2","3.5","1","22","3","0","2","60","5","484","250","93","1","140","1","50.61363636363637","73","229","3","1","29"
"97","4","7","0","3","2","3.5","1","22","3","0","2","60","5","489","250","99","0","140","5","50.72727272727273","81","225","3","3","27"
"95","4","7","0","3","2","3.5","1","22","3","0","2","60","6","504","250","93","21","140","6","51.09090909090909","65","209","3","1","29"
"93","4","7","0","3","2","3.5","1","22","3","0","2","60","5","484","250","90","4","140","0","44.30612244897959","69","233","3","0","30"
"98","4","7","0","3","2","3.5","1","22","3","0","2","60","5","491","250","99","2","140","0","48.34090909090909","88","232","3","3","27"
"100","4","7","0","3","2","3.5","1","22","3","0","2","60","5","489","250","93","6","140","2","50.40909090909091","52","226","3","1","29"
"99","4","7","0","3","2","3.5","1","22","3","0","2","60","5","500","250","108","2","140","3","51.02272727272727","83","215","3","6","24"
