"BehaviorSpace results (NetLogo 6.2.0)"
"ABM hospital v2.nlogo"
"Intensiven"
"05/09/2021 19:13:24:229 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","Antall_ledelsesorganer_PPE","antall_i_ren_intensiv_sone","Antall_omdisponerte_ved_pandemi_start","Trigger_omdisponering_sykepleiere_per_pasient","Antall_motstridende_beskjeder_PPE","Trigger_normalisering_sykepleiere_per_pasient","antall_motstridende_beskjeder","fast_ansatt_intensiv","antall_ledelsesorganer","dager_før_start","dager_opplæring_omdisponerte_etter_start","[step]","beredskaps_vellykkethet","beredskapshåndtering","beredskapshåndtering_døds_relatert","beredskapshåndtering_kompetanse_relatert","beredskapshåndtering_stress_relatert","beredskapshåndtering_kommunikasjon","døde","gjennomsnitt_stress","kummulativt_antall_intensiv","friskmeldte_pasienter","antall_kompetanse_over_3","antall_kompetanse_under_3_til_2","antall_kompetanse_under_2_til_1"
"47","2","7","15","1","2","5","0","22","1","30","30","60","8","713","250","250","3","210","0","49.121212121212125","70","232","13","48","14"
"44","2","7","15","1","2","5","0","22","1","30","30","60","7","692","232","250","0","210","15","51.13131313131313","67","201","13","55","7"
"43","2","7","15","1","2","5","0","22","1","30","30","60","8","706","244","250","2","210","9","50.93939393939394","59","212","11","55","9"
"50","2","7","15","1","2","5","0","22","1","30","30","60","8","720","250","250","10","210","2","50.474747474747474","76","227","15","46","14"
"49","2","7","15","1","2","5","0","22","1","30","30","60","8","711","248","250","3","210","7","51.09090909090909","79","214","15","48","12"
"54","2","7","15","1","2","5","0","22","1","30","30","60","8","733","250","250","23","210","6","50.97979797979798","74","202","7","57","11"
"53","2","7","15","1","2","5","0","22","1","30","30","60","8","710","250","250","0","210","3","50.54545454545455","58","228","11","52","12"
"55","2","7","15","1","2","5","0","22","1","30","30","60","8","724","250","250","14","210","3","50.505050505050505","55","225","13","49","13"
"52","2","7","15","1","2","5","0","22","1","30","30","60","8","726","250","250","16","210","4","51.07070707070707","62","207","9","51","15"
"51","2","7","15","1","2","5","0","22","1","30","30","60","8","712","250","250","2","210","5","50.56565656565657","72","222","13","49","13"
"56","2","7","15","1","2","5","0","22","1","30","30","60","8","720","238","250","22","210","12","50.84848484848485","71","199","13","46","16"
"57","2","7","15","1","2","5","0","22","1","30","30","60","8","729","248","250","21","210","7","50.92929292929293","66","203","15","53","7"
"59","2","7","15","1","2","5","0","22","1","30","30","60","8","755","248","250","47","210","7","51.03030303030303","74","210","10","50","15"
"58","2","7","15","1","2","5","0","22","1","30","30","60","8","730","244","250","26","210","9","51.101010101010104","66","205","14","47","14"
"60","2","7","15","1","2","5","0","22","1","30","30","60","8","712","246","250","6","210","8","51.121212121212125","64","207","12","56","7"
"65","2","7","15","1","2","5","0","22","1","30","30","60","8","719","250","250","9","210","5","50.95959595959596","74","219","11","53","11"
"63","2","7","15","1","2","5","0","22","1","30","30","60","8","726","242","250","24","210","10","51.16161616161616","79","201","13","48","14"
"62","2","7","15","1","2","5","0","22","1","30","30","60","8","735","250","250","25","210","4","50.91919191919192","80","215","6","57","12"
"66","2","7","15","1","2","5","0","22","1","30","30","60","8","715","250","250","5","210","1","51.13131313131313","64","219","7","57","11"
"67","2","7","15","1","2","5","0","22","1","30","30","60","8","710","250","250","0","210","4","51.06060606060606","69","217","13","51","11"
"64","2","7","15","1","2","5","0","22","1","30","30","60","8","712","240","250","12","210","11","51.06060606060606","69","203","14","49","12"
"61","2","7","15","1","2","5","0","22","1","30","30","60","8","708","248","250","0","210","7","51.01010101010101","68","216","9","51","15"
"69","2","7","15","1","2","5","0","22","1","30","30","60","8","718","250","250","8","210","6","51.04040404040404","64","215","12","51","12"
"68","2","7","15","1","2","5","0","22","1","30","30","60","8","714","250","250","4","210","0","36.35353535353536","64","232","13","52","10"
"72","2","7","15","1","2","5","0","22","1","30","30","60","8","712","248","250","4","210","7","50.94949494949495","71","205","17","44","14"
"73","2","7","15","1","2","5","0","22","1","30","30","60","8","721","250","250","11","210","2","50.45454545454545","76","227","13","50","12"
"70","2","7","15","1","2","5","0","22","1","30","30","60","8","718","250","250","8","210","3","50.656565656565654","72","225","15","50","10"
"75","2","7","15","1","2","5","0","22","1","30","30","60","8","738","238","250","40","210","12","51.05050505050505","80","194","16","47","12"
"74","2","7","15","1","2","5","0","22","1","30","30","60","8","738","242","250","36","210","10","51.07070707070707","71","207","17","49","9"
"71","2","7","15","1","2","5","0","22","1","30","30","60","8","711","250","250","1","210","4","50.282828282828284","69","221","10","52","13"
"77","2","7","15","1","2","5","0","22","1","30","30","60","8","713","246","250","7","210","8","51.04040404040404","69","210","13","53","9"
"76","2","7","15","1","2","5","0","22","1","30","30","60","8","718","250","250","8","210","5","50.97979797979798","79","211","11","52","12"
"78","2","7","15","1","2","5","0","22","1","30","30","60","8","716","246","250","10","210","8","50.86868686868687","73","212","17","51","7"
