"BehaviorSpace results (NetLogo 6.2.0)"
"ABM hospital v3 scenario.nlogo"
"Intensiven"
"05/09/2021 20:07:18:556 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","Antall_ledelsesorganer_PPE","antall_i_ren_intensiv_sone","Antall_omdisponerte_ved_pandemi_start","Trigger_omdisponering_sykepleiere_per_pasient","Antall_motstridende_beskjeder_PPE","Trigger_normalisering_sykepleiere_per_pasient","antall_motstridende_beskjeder","fast_ansatt_intensiv","antall_ledelsesorganer","dager_før_start","dager_opplæring_omdisponerte_etter_start","[step]","beredskaps_vellykkethet","beredskapshåndtering","beredskapshåndtering_døds_relatert","beredskapshåndtering_kompetanse_relatert","beredskapshåndtering_stress_relatert","beredskapshåndtering_kommunikasjon","døde","gjennomsnitt_stress","kummulativt_antall_intensiv","friskmeldte_pasienter","antall_kompetanse_over_3","antall_kompetanse_under_3_til_2","antall_kompetanse_under_2_til_1"
"45","2","7","15","1","2","5","0","22","1","30","30","60","7","632","136","250","36","210","89","51.23232323232323","964","2886","15","49","11"
"47","2","7","15","1","2","5","0","22","1","30","30","60","7","654","188","250","6","210","63","50.98989898989899","1035","2961","9","55","11"
"48","2","7","15","1","2","5","0","22","1","30","30","60","8","710","250","250","0","210","21","51.505050505050505","961","3037","13","50","12"
"46","2","7","15","1","2","5","0","22","1","30","30","60","6","566","74","250","32","210","120","51.26262626262626","970","2880","14","53","8"
"49","2","7","15","1","2","5","0","22","1","30","30","60","5","493","0","250","33","210","159","51.292929292929294","985","2726","15","47","13"
"51","2","7","15","1","2","5","0","22","1","30","30","60","8","723","228","250","35","210","43","51.26262626262626","958","3029","14","53","8"
"50","2","7","15","1","2","5","0","22","1","30","30","60","5","488","0","250","28","210","168","51.2020202020202","940","2752","16","47","12"
"52","2","7","15","1","2","5","0","22","1","30","30","60","8","715","210","250","45","210","52","51.121212121212125","1005","3013","12","45","18"
"53","2","7","15","1","2","5","0","22","1","30","30","60","8","721","222","250","39","210","46","51.13131313131313","986","3043","15","45","15"
"54","2","7","15","1","2","5","0","22","1","30","30","60","7","673","186","250","27","210","64","51.13131313131313","990","2981","11","50","14"
"55","2","7","15","1","2","5","0","22","1","30","30","60","6","547","72","250","15","210","121","50.96969696969697","977","2873","12","46","17"
"57","2","7","15","1","2","5","0","22","1","30","30","60","8","725","248","250","17","210","33","51.21212121212121","949","3063","17","51","7"
"56","2","7","15","1","2","5","0","22","1","30","30","60","5","464","0","250","4","210","180","51.17171717171717","967","2750","15","48","12"
"58","2","7","15","1","2","5","0","22","1","30","30","60","8","740","250","250","30","210","22","50.95959595959596","989","3056","16","45","14"
"59","2","7","15","1","2","5","0","22","1","30","30","60","6","587","96","250","31","210","109","51.02020202020202","995","2883","14","55","6"
"60","2","7","15","1","2","5","0","22","1","30","30","60","7","698","218","250","20","210","48","51.16161616161616","990","3031","10","61","4"
"61","2","7","15","1","2","5","0","22","1","30","30","60","5","475","0","250","15","210","128","51.02020202020202","954","2871","7","56","12"
"62","2","7","15","1","2","5","0","22","1","30","30","60","5","482","0","250","22","210","169","50.91919191919192","948","2757","11","56","8"
"63","2","7","15","1","2","5","0","22","1","30","30","60","6","570","80","250","30","210","117","51.313131313131315","970","2835","16","49","10"
"64","2","7","15","1","2","5","0","22","1","30","30","60","8","713","226","250","27","210","44","51.101010101010104","1015","3028","17","48","10"
"66","2","7","15","1","2","5","0","22","1","30","30","60","6","598","116","250","22","210","99","51.2020202020202","922","2927","13","50","12"
"65","2","7","15","1","2","5","0","22","1","30","30","60","5","496","0","250","36","210","161","51.343434343434346","958","2754","15","52","8"
"67","2","7","15","1","2","5","0","22","1","30","30","60","8","709","224","250","25","210","45","51.323232323232325","985","3008","11","52","12"
"68","2","7","15","1","2","5","0","22","1","30","30","60","6","576","70","250","46","210","122","50.96969696969697","960","2866","17","44","14"
"69","2","7","15","1","2","5","0","22","1","30","30","60","8","752","250","250","42","210","23","51.09090909090909","1007","3060","15","47","13"
"71","2","7","15","1","2","5","0","22","1","30","30","60","7","684","224","250","0","210","45","51.2020202020202","960","3008","13","48","14"
"70","2","7","15","1","2","5","0","22","1","30","30","60","6","502","0","250","42","210","174","51.06060606060606","998","2715","17","50","8"
"72","2","7","15","1","2","5","0","22","1","30","30","60","5","477","0","250","17","210","135","51.313131313131315","972","2846","13","50","12"
"73","2","7","15","1","2","5","0","22","1","30","30","60","7","688","212","250","16","210","51","51.22222222222222","1017","3012","16","45","14"
"74","2","7","15","1","2","5","0","22","1","30","30","60","5","500","0","250","40","210","138","51.04040404040404","961","2847","14","51","10"
"76","2","7","15","1","2","5","0","22","1","30","30","60","6","581","108","250","13","210","103","51.16161616161616","987","2909","19","43","13"
